awards,budget,openingwknd,metacritic,locs,release_date,gross,nudity_score,violence_score,profanity_score,alcohol_score,frightening_score,year,month,cci,sequel
6.0,10000000.0,29581355.0,49.0,2.0,2018-01-05,67347895.0,1,2,2,1,3,2018,"(1, 2018)",101.251,1
10.0,145470383.27526134,43209008.30139373,51.0,11.0,2000-07-21,226154587.2560976,4,9,1,0,1,2000,"(7, 2000)",102.4561,0
10.0,58188153.31010453,50497631.65505227,56.0,9.0,2000-02-04,129669500.80139372,6,4,2,1,3,2000,"(2, 2000)",102.7076,1
18.0,138196864.11149827,38425108.55400697,24.0,3.0,2000-08-04,106497907.4912892,5,9,1,1,2,2000,"(8, 2000)",102.4219,0
29.0,48005226.48083624,25479210.36585366,40.0,15.0,2000-08-18,89222890.70557491,6,3,1,2,6,2000,"(8, 2000)",102.4219,0
13.0,26520692.974013474,30163671.799807504,70.0,9.0,1984-06-08,357233734.3599615,3,16,2,2,7,1984,"(6, 1984)",101.1731,0
17.0,120288115.24609844,50273124.66986795,42.0,11.0,1999-07-23,137445938.32833132,2,1,1,1,1,1999,"(7, 1999)",102.2442,0
65.0,150360144.05762303,45198961.48559424,65.0,9.0,1999-11-19,151971256.00840336,2,19,1,2,1,1999,"(11, 1999)",102.2692,0
8.0,150360144.05762303,30859307.00780312,33.0,15.0,1999-11-24,100574461.41356544,5,30,2,2,3,1999,"(11, 1999)",102.2692,0
28.0,9393750.0,41761455.15625,62.0,9.0,2017-01-20,144341612.21875,3,5,1,2,4,2017,"(1, 2017)",101.2579,0
17.0,41750000.0,42174090.2375,65.0,9.0,2016-06-10,106953070.85,1,3,2,2,6,2016,"(6, 2016)",100.6454,1
28.0,10333125.0,27567218.1375,71.0,4.0,2016-08-26,93121157.03125,3,8,1,1,2,2016,"(8, 2016)",100.3958,0
6.0,10437500.0,32220562.5,55.0,2.0,2016-07-01,82459464.75,2,4,2,2,2,2016,"(7, 2016)",100.5005,1
12.0,5114375.0,22636957.50625,58.0,6.0,2016-07-22,70211846.53125,1,7,1,1,3,2016,"(7, 2016)",100.5005,0
6.0,20875000.0,29748386.35,30.0,3.0,2016-10-21,76360254.21875,1,1,2,1,2,2016,"(10, 2016)",100.4529,0
61.0,15656250.0,25783497.4,76.0,2.0,2016-03-11,75042718.15625,4,4,2,5,4,2016,"(3, 2016)",100.5245,1
26.0,66837131.73985548,20908037.50138966,57.0,22.0,2002-10-18,179803209.0967204,3,6,7,3,5,2002,"(10, 2002)",99.63846,0
16.0,75191773.20733741,45293318.55475264,52.0,9.0,2002-03-22,114665113.44913842,0,35,1,1,1,2002,"(3, 2002)",100.8773,1
12.0,13260984.647961885,51888528.89094759,49.0,3.0,2004-10-22,146347380.5240868,1,3,1,1,2,2004,"(10, 2004)",100.7826,1
18.0,1591318.157755426,24236396.156696666,46.0,1.0,2004-10-29,74262003.35892005,4,11,1,2,4,2004,"(10, 2004)",100.7826,0
5.0,106087877.18369506,39038125.54526204,34.0,9.0,2004-03-26,111679812.95129696,3,44,1,2,1,2004,"(3, 2004)",101.0119,1
18.0,34478560.0847009,35436765.682901,59.0,10.0,2004-03-19,78267600.46850185,6,13,1,2,5,2004,"(3, 2004)",101.0119,1
6.0,79565907.88777131,50777710.57702488,29.0,8.0,2004-08-13,106462143.27951296,2,11,1,1,4,2004,"(8, 2004)",100.9874,1
7.0,55696135.52143991,27877389.12387507,43.0,7.0,2004-09-24,89025643.2212811,4,10,1,1,7,2004,"(9, 2004)",100.8704,0
26.0,87522498.67654844,30728937.10958179,72.0,3.0,2004-04-02,79067239.16887242,0,5,2,2,6,2004,"(4, 2004)",100.8435,0
3.0,119348861.83165696,28387499.42032821,42.0,14.0,2004-06-11,78882625.04499735,5,2,2,1,0,2004,"(6, 2004)",100.9021,0
47.0,101417004.048583,61508914.32186235,59.0,27.0,1994-11-11,177927019.5951417,5,16,1,1,3,1994,"(11, 1994)",100.7648,0
